Position,Component,Volume,Rows,Columns,Purpose
1,Sartorius Tips (10+AC0-1000uL),1,8,12,Tips
5,6+AC0-tube rack (50mL),50,2,3,1
2,Tray,250,1,1,1
7,15+AC0-tube rack (15mL),15,3,5,2
8,24 Well Costar plate,2.5,4,6,3
9,6+AC0-tube rack (50mL),50,2,3,1
6,6+AC0-tube rack (50mL),50,2,3,1
10,6+AC0-tube rack (50mL),50,2,3,1
