type,source,target,volume,pipette,tipType,liquidClass,sameTips,reuseTips,ejectTipsWithLiquid,bottomTouch,liquidLevelDetection,prewetEnabled,prewetReps,prewetVolume,prewetRelative,prewetHeights,mixingEnabled,mixingReps,mixingVolume,mixingRelative,mixingHeights,stepRowSource,stepColSource,stepRowTarget,stepColTarget,offsetRowSource,offsetColSource,offsetRowTarget,offsetColTarget,excessDispense,excessVol,aspirationOffsetX,aspirationOffsetY,dispenseOffsetX,dispenseOffsetY,aspirationDepthRelative,aspirationDepthValue,dispenseDepthRelative,dispenseDepthValue,note,timedBreak,timeEvent,pauseTimeMinutes,deviceType,devicePos,action,deviceArgName,deviceArgValue
dispense,5:B2,3:A2,587.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B3,3:A2,300.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A1,3:A2,115.7,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A2,3:A2,550.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A3,3:A2,526.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:B1,3:A2 3:A2 3:A2 3:A2 3:A2 3:A2 3:A2,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 230.1,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1 1 1 1 1,1 1 1 1 1 1 1,0,0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:A1,3:A3,333.1,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:A3,3:A3,684.4,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B2,3:A3,346.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B3,3:A3,112.4,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A1,3:A3,691.5,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A2,3:A3,441.3,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B1,3:A3,364.6,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B3,3:A3,530.5,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A1,3:A3,224.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A2,3:A3,550.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A3,3:A3,526.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:B1,3:A3 3:A3 3:A3 3:A3 3:A3 3:A3 3:A3,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 194.5,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1 1 1 1 1,1 1 1 1 1 1 1,0,0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:A1,3:A4,440.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:A3,3:A4,132.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B1,3:A4,550.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B3,3:A4,220.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A1,3:A4,275.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A2,3:A4,178.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A3,3:A4,275.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B3,3:A4,617.1,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A1,3:A4,110.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A2,3:A4,550.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A3,3:A4,526.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:B1,3:A4 3:A4 3:A4 3:A4 3:A4 3:A4 3:A4 3:A4,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 125.3,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1,0,0,0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
