Compound,PubChemCID,1_YAR,2a_YAR,2b_YAR,2c_YAR,2d_YAR,3a_YAR,3b_YAR,3c_YAR,4_YAR,5_YAR,6_YAR,1_CER,2_CER,3_CER,4_CER,5a_CER,5b_CER,1a_PIC,1b_PIC,1c_PIC,1d_PIC,2a_PIC,3a_PIC,3b_PIC,4a_PIC,4b_PIC,Annotate
Monosodium glutamate,23672308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6609898882384242e-5,0,0,0,0,0,0,0,0,0,Carbon; Nitrogen
Nickel sulphate heptahydrate,61474,0,0,0,0,0,0,0,3.0435609663306067e-6,0,0,1.5522160928286094e-8,0,0,0,0,0,0,2.3142379036564965e-6,0,0,0,0,0,0,0,0,Element
Nicotinic acid,938,0,4.061408496466575e-6,4.061408496466575e-6,4.061408496466575e-6,4.061408496466575e-6,0,0,1.2184225489399724e-8,8.12281699293315e-6,1.2184225489399724e-5,1.3808788887986352e-7,0,8.122816992933148e-9,0,8.12281699293315e-6,1.299650718869304e-5,5.734708797010804e-6,0,0,0,0,0,8.12281699293315e-6,0,0,0,Vitamin
Phenylalanine,6140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003632181,0,0.000302682,0.001816091,0,0,0,0,0,0,0,0,0,AA
Phosphoric acid,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23159344864533904,0.073779274,0,0,0,0.23164447165671717,0,Buffer
Potassium chloride,4873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04158283,0.04158283,0,0,0,0,0,0,0,Element
Potassium hydroxide,14797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073610666,0.011406979645670695,0,0,0.011400812747299755,0.073610666,0.060064877,Buffer
Potassium iodide,4875,0,6.023994775991731e-7,6.023994775991731e-7,6.023994775991731e-7,6.023994775991731e-7,6.023994775991731e-7,0,5.421595298392557e-6,1.2047989551983461e-6,0,2.7650136021802036e-8,0,1.2047989551983461e-6,0,6.023994775991731e-7,2.4095979103966922e-6,1.0632350779625404e-6,0,0,0,0,1.4249759642608435e-6,6.023994775991731e-7,0,0,0,Element
Potassium sulphate,24507,0,0,0,0,0,0,0,0,0,0,0,0.00114771,0,0.057385516,0.017215654768736374,0,0,0,0,0.016412257546195342,0.016412257546195342,0,0,0.016399906,0.10444163893033398,0.068862619,Element
Pyridoxine,1054,0,2.9554320841707055e-6,2.9554320841707055e-6,2.9554320841707055e-6,2.9554320841707055e-6,0,0,8.866296252512117e-9,5.910864168341411e-6,8.866296252512117e-6,1.0048469086180399e-7,4.862867146469559e-6,5.910864168341411e-9,2.127911100602908e-5,5.910864168341411e-6,9.45738266934626e-6,4.173070102849036e-6,0,0,0,0,0,5.910864168341411e-6,0,0,0,Vitamin
Riboflavin,493570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1253985122210418e-5,9.378320935175346e-6,0,0,0,0,0,0,0,0,0,Vitamin
Serine,5951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356837,0.002141022,0,0,0,0,0,0,0,0,0,AA
Sodium chloride,5234,0,0,0,0,0,0.001711157,0,0,0,0,0,0,0,0.008555784,0,0.006844627,0.003020192,0.004791239,0.004791239,0,0,0,0,0,0,0,Element
Sodium citrate dihydrate,138319705,0.003400204,0,0,0,0,0,0,0,0,0,0,0.003400204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelating
Sodium iodide,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.658735294627811e-6,2.3216375283366534e-6,0,0,2.292617059232445e-6,0,0,Element
Sodium molybdate dihydrate,16211258,2.4280095177973096e-6,1.942407614237848e-6,1.942407614237848e-6,1.942407614237848e-6,1.942407614237848e-6,0,0,1.9424076142378476e-5,3.884815228475696e-6,5.827222842713543e-6,9.906278832613023e-8,0,3.884815228475696e-6,2.3503132132277957e-5,1.942407614237848e-6,3.3063316250619933e-6,1.4589188295586046e-6,3.156412373136503e-6,0,1.3936774632156558e-5,4.224736560967319e-6,2.2803769218052567e-6,1.942407614237848e-6,3.05629029591668e-6,0,0,Element
Sodium phosphate,24203,0,0,0,0,0,0,0,0.021132862305313506,0,0,0.001077776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buffer
Sulphuric acid,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0476651712887435e-5,1.5301284665579115e-5,0.000106933,0,0,0,0,Buffer
Thiamine,6042,6.715202287158007e-7,1.6621787839500018e-6,1.6621787839500018e-6,1.6621787839500018e-6,1.6621787839500018e-6,5.929439667951379e-7,2.9647198339756894e-7,4.447079750963534e-9,3.3243575679000036e-6,4.986536351850005e-6,5.651407865430006e-8,1.1858879335902757e-5,3.324357567900003e-9,1.1967687244440012e-5,3.3243575679000036e-6,5.318972108640006e-6,2.346996442937402e-6,0.00039579,0.00039579,0,0,0,3.3243575679000036e-6,0,0,0,Vitamin
Threonine,6288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001678979,0.001007388,0,0,0,0,0,0,0,0,0,AA
Tryptophan,6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001958672,0,0.000195867,0,0,0,0,0,0,0,0,0,0,AA
Tyrosine,6057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001379767,0,0.000165572,0,0,0,0,0,0,0,0,0,0,AA
Uracil,1174,0.004103845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178428,0.002141137,0,0,0,0,0,0,0,0,0,Auxotrophic
Urea,1176,0,0,0,0,0,0.033302251,0,0,0,0,0.049953376848274944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon; Nitrogen
Valine,6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,AA
Zinc chloride,5727,0.000220103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105649,0.000638298,0,0,6.382978723404255e-7,0,0,Element
Zinc sulphate heptahydrate,62640,0,2.7881040892193304e-5,2.7881040892193304e-5,2.7881040892193304e-5,2.7881040892193304e-5,2.4783147459727386e-6,0,0.024783147459727383,5.576208178438661e-5,8.906443618339528e-5,0.000126394,1.3908205841446453e-6,5.576208178438661e-5,3.568773234200743e-5,2.7881040892193304e-5,5.563282336578581e-6,2.454798331015299e-6,0.000123916,0.000123916,0,0,0,2.7881040892193304e-5,0,0,0,Element
para-aminobenzoic acid,978,7.291818579553742e-9,7.291818579553742e-7,7.291818579553742e-7,7.291818579553742e-7,7.291818579553742e-7,0,0,2.1875455738661225e-9,1.4583637159107483e-6,2.1875455738661226e-7,2.4792183170482725e-8,0,1.4583637159107483e-6,0,1.4583637159107483e-6,5.8334548636429935e-5,2.5740119585824706e-5,0,0,0,0,0,1.4583637159107483e-6,0,0,0,Vitamin
